Day Index,Avg. Session Duration
5/1/21,00:01:35
5/2/21,00:01:12
5/3/21,00:01:23
5/4/21,00:01:03
5/5/21,00:01:07
5/6/21,00:02:07
5/7/21,00:01:42
5/8/21,00:02:11
5/9/21,00:01:39
5/10/21,00:02:04
5/11/21,00:01:24
5/12/21,00:01:54
5/13/21,00:01:49
5/14/21,00:01:26
5/15/21,00:02:17
5/16/21,00:01:42
5/17/21,00:01:40
5/18/21,00:02:04
5/19/21,00:02:09
5/20/21,00:01:48
5/21/21,00:01:48
5/22/21,00:01:48
5/23/21,00:01:26
5/24/21,00:01:20
5/25/21,00:02:04
5/26/21,00:01:35
5/27/21,00:01:58
5/28/21,00:02:06
5/29/21,00:02:02
5/30/21,00:02:19
5/31/21,00:02:00
6/1/21,00:01:46
6/2/21,00:01:06
6/3/21,00:01:38
6/4/21,00:01:40
6/5/21,00:01:22
6/6/21,00:01:51
6/7/21,00:01:31
6/8/21,00:02:05
6/9/21,00:01:40
6/10/21,00:01:58
6/11/21,00:01:05
6/12/21,00:01:44
6/13/21,00:01:17
6/14/21,00:01:59
6/15/21,00:01:42
6/16/21,00:01:42
6/17/21,00:01:59
6/18/21,00:01:25
6/19/21,00:01:46
6/20/21,00:01:36
6/21/21,00:02:12
6/22/21,00:01:37
6/23/21,00:01:36
6/24/21,00:01:21
6/25/21,00:01:49
6/26/21,00:01:33
6/27/21,00:02:00
6/28/21,00:02:07
6/29/21,00:01:40
6/30/21,00:01:36
7/1/21,00:02:19
7/2/21,00:01:48
7/3/21,00:01:38
7/4/21,00:01:40
7/5/21,00:01:47
7/6/21,00:01:53
7/7/21,00:01:11
7/8/21,00:01:21
7/9/21,00:01:41
7/10/21,00:01:34
7/11/21,00:01:47
7/12/21,00:01:49
7/13/21,00:02:07
7/14/21,00:01:47
7/15/21,00:01:48
7/16/21,00:01:46
7/17/21,00:01:30
7/18/21,00:01:34
7/19/21,00:01:47
7/20/21,00:01:47
7/21/21,00:01:40
7/22/21,00:01:29
7/23/21,00:02:19
7/24/21,00:01:31
7/25/21,00:01:53
7/26/21,00:01:33
7/27/21,00:01:29
7/28/21,00:01:35
7/29/21,00:02:01
7/30/21,00:01:34
7/31/21,00:01:40
8/1/21,00:02:05
8/2/21,00:02:17
8/3/21,00:02:10
8/4/21,00:01:36
8/5/21,00:01:30
8/6/21,00:02:11
8/7/21,00:01:39
8/8/21,00:01:21
8/9/21,00:01:53
8/10/21,00:01:37
8/11/21,00:01:36
8/12/21,00:01:51
8/13/21,00:02:03
8/14/21,00:01:34
8/15/21,00:01:21
8/16/21,00:01:23
8/17/21,00:01:36
8/18/21,00:01:24
8/19/21,00:01:26
8/20/21,00:01:19
8/21/21,00:02:19
8/22/21,00:02:02
8/23/21,00:01:41
8/24/21,00:01:11
8/25/21,00:02:21
8/26/21,00:01:05
8/27/21,00:01:33
8/28/21,00:01:34
8/29/21,00:01:16
8/30/21,00:01:22
8/31/21,00:01:22
9/1/21,00:01:25
9/2/21,00:01:29
9/3/21,00:01:41
9/4/21,00:01:26
9/5/21,00:01:37
9/6/21,00:01:18
9/7/21,00:01:11
9/8/21,00:01:39
9/9/21,00:01:30
9/10/21,00:01:42
9/11/21,00:01:28
9/12/21,00:01:20
9/13/21,00:01:30
9/14/21,00:01:02
9/15/21,00:01:38
9/16/21,00:01:16
9/17/21,00:01:47
9/18/21,00:02:08
9/19/21,00:02:09
9/20/21,00:01:33
9/21/21,00:01:25
9/22/21,00:01:23
9/23/21,00:01:16
9/24/21,00:01:22
9/25/21,00:01:07
9/26/21,00:01:47
9/27/21,00:01:32
9/28/21,00:01:34
9/29/21,00:01:41
9/30/21,00:01:45
10/1/21,00:01:43
10/2/21,00:02:00
10/3/21,00:01:56
10/4/21,00:01:52
10/5/21,00:01:15
10/6/21,00:01:43
10/7/21,00:01:33
10/8/21,00:01:44
10/9/21,00:02:07
10/10/21,00:01:27
10/11/21,00:02:03
10/12/21,00:01:39
10/13/21,00:02:00
10/14/21,00:01:49
10/15/21,00:02:09
10/16/21,00:01:24
10/17/21,00:01:20
10/18/21,00:01:36
10/19/21,00:01:10
10/20/21,00:01:33
10/21/21,00:01:46
10/22/21,00:01:47
10/23/21,00:01:32
10/24/21,00:01:36
10/25/21,00:01:50
10/26/21,00:02:11
10/27/21,00:01:59
10/28/21,00:01:40
10/29/21,00:01:41
10/30/21,00:01:38
10/31/21,00:02:03
11/1/21,00:01:06
