Day Index,Pageviews
5/1/21,"6,194"
5/2/21,"6,545"
5/3/21,"11,755"
5/4/21,"11,706"
5/5/21,"12,171"
5/6/21,"14,031"
5/7/21,"11,679"
5/8/21,"6,268"
5/9/21,"6,787"
5/10/21,"13,647"
5/11/21,"13,878"
5/12/21,"13,381"
5/13/21,"12,193"
5/14/21,"10,600"
5/15/21,"7,023"
5/16/21,"7,114"
5/17/21,"12,711"
5/18/21,"14,164"
5/19/21,"12,451"
5/20/21,"14,173"
5/21/21,"12,348"
5/22/21,"6,372"
5/23/21,"7,736"
5/24/21,"11,403"
5/25/21,"15,165"
5/26/21,"13,582"
5/27/21,"13,642"
5/28/21,"8,274"
5/29/21,"6,943"
5/30/21,"7,444"
5/31/21,"8,284"
6/1/21,"15,976"
6/2/21,"12,887"
6/3/21,"16,226"
6/4/21,"12,576"
6/5/21,"7,193"
6/6/21,"7,405"
6/7/21,"14,368"
6/8/21,"15,465"
6/9/21,"13,130"
6/10/21,"12,337"
6/11/21,"11,382"
6/12/21,"5,911"
6/13/21,"6,589"
6/14/21,"12,727"
6/15/21,"13,445"
6/16/21,"12,172"
6/17/21,"14,823"
6/18/21,"11,281"
6/19/21,"6,350"
6/20/21,"6,757"
6/21/21,"14,290"
6/22/21,"12,386"
6/23/21,"12,136"
6/24/21,"12,500"
6/25/21,"12,957"
6/26/21,"6,221"
6/27/21,"6,554"
6/28/21,"13,637"
6/29/21,"16,882"
6/30/21,"13,449"
7/1/21,"12,231"
7/2/21,"10,008"
7/3/21,"5,301"
7/4/21,"5,690"
7/5/21,"7,620"
7/6/21,"8,783"
7/7/21,"11,199"
7/8/21,"17,823"
7/9/21,"12,197"
7/10/21,"6,096"
7/11/21,"6,161"
7/12/21,"12,096"
7/13/21,"13,451"
7/14/21,"12,219"
7/15/21,"21,361"
7/16/21,"16,019"
7/17/21,"7,075"
7/18/21,"7,634"
7/19/21,"25,186"
7/20/21,"19,867"
7/21/21,"18,678"
7/22/21,"19,980"
7/23/21,"12,553"
7/24/21,"6,313"
7/25/21,"6,660"
7/26/21,"17,349"
7/27/21,"13,790"
7/28/21,"14,013"
7/29/21,"13,130"
7/30/21,"12,145"
7/31/21,"6,064"
8/1/21,"6,493"
8/2/21,"13,688"
8/3/21,"15,694"
8/4/21,"15,540"
8/5/21,"16,193"
8/6/21,"14,053"
8/7/21,"6,550"
8/8/21,"7,178"
8/9/21,"15,266"
8/10/21,"14,406"
8/11/21,"11,980"
8/12/21,"13,566"
8/13/21,"12,997"
8/14/21,"5,881"
8/15/21,"6,718"
8/16/21,"12,370"
8/17/21,"13,152"
8/18/21,"13,445"
8/19/21,"21,645"
8/20/21,"14,670"
8/21/21,"7,528"
8/22/21,"7,089"
8/23/21,"13,482"
8/24/21,"12,162"
8/25/21,"15,737"
8/26/21,"13,761"
8/27/21,"12,219"
8/28/21,"6,231"
8/29/21,"7,375"
8/30/21,"13,090"
8/31/21,"12,929"
9/1/21,"12,682"
9/2/21,"13,867"
9/3/21,"10,439"
9/4/21,"5,357"
9/5/21,"5,932"
9/6/21,"7,125"
9/7/21,"12,974"
9/8/21,"12,393"
9/9/21,"12,727"
9/10/21,"11,280"
9/11/21,"7,015"
9/12/21,"6,162"
9/13/21,"13,419"
9/14/21,"13,964"
9/15/21,"14,724"
9/16/21,"12,934"
9/17/21,"12,114"
9/18/21,"5,905"
9/19/21,"6,721"
9/20/21,"13,903"
9/21/21,"14,811"
9/22/21,"14,252"
9/23/21,"14,712"
9/24/21,"12,108"
9/25/21,"5,588"
9/26/21,"6,910"
9/27/21,"17,209"
9/28/21,"16,722"
9/29/21,"16,043"
9/30/21,"14,480"
10/1/21,"13,017"
10/2/21,"6,175"
10/3/21,"7,096"
10/4/21,"13,366"
10/5/21,"15,952"
10/6/21,"17,166"
10/7/21,"17,469"
10/8/21,"14,697"
10/9/21,"6,061"
10/10/21,"7,520"
10/11/21,"13,080"
10/12/21,"14,974"
10/13/21,"15,138"
10/14/21,"13,791"
10/15/21,"13,587"
10/16/21,"7,058"
10/17/21,"7,122"
10/18/21,"16,228"
10/19/21,"24,866"
10/20/21,"19,061"
10/21/21,"15,298"
10/22/21,"9,992"
10/23/21,"6,348"
10/24/21,"7,693"
10/25/21,"16,529"
10/26/21,"20,109"
10/27/21,"15,271"
10/28/21,"15,848"
10/29/21,"14,339"
10/30/21,"6,205"
10/31/21,"6,383"
11/1/21,"16,243"
11/2/21,"15,613"
11/3/21,"20,780"
11/4/21,"19,822"
11/5/21,"15,298"
11/6/21,"7,119"
11/7/21,"9,928"
11/8/21,"17,871"
11/9/21,"17,666"
11/10/21,"16,689"
11/11/21,"16,277"
11/12/21,"15,224"
11/13/21,"7,749"
11/14/21,"8,722"
11/15/21,"15,843"
11/16/21,"16,016"
11/17/21,"16,785"
11/18/21,"19,232"
11/19/21,"14,386"
11/20/21,"7,512"
11/21/21,"9,256"
11/22/21,"19,706"
11/23/21,"20,115"
11/24/21,"15,997"
11/25/21,"10,583"
11/26/21,"12,441"
11/27/21,"7,981"
11/28/21,"8,500"
11/29/21,"20,275"
11/30/21,"19,133"
12/1/21,"17,512"
12/2/21,"18,397"
12/3/21,"42,497"
12/4/21,"19,929"
12/5/21,"16,167"
12/6/21,"26,580"
12/7/21,"26,760"
12/8/21,"26,401"
12/9/21,"27,100"
12/10/21,"27,052"
12/11/21,"10,521"
12/12/21,"11,415"
12/13/21,"23,802"
12/14/21,"21,741"
12/15/21,"22,254"
12/16/21,"23,175"
12/17/21,"12,053"
12/18/21,"7,936"
12/19/21,"9,334"
12/20/21,"20,295"
12/21/21,"16,102"
12/22/21,"14,617"
12/23/21,"11,478"
12/24/21,"5,926"
12/25/21,"5,755"
12/26/21,"6,460"
12/27/21,"7,345"
12/28/21,"11,750"
12/29/21,"10,468"
12/30/21,"8,197"
12/31/21,"4,499"
1/1/22,"4,791"
1/2/22,"5,553"
1/3/22,"7,400"
1/4/22,"12,072"
1/5/22,"12,661"
1/6/22,"10,609"
1/7/22,"10,578"
1/8/22,"6,377"
1/9/22,"6,976"
1/10/22,"12,224"
1/11/22,"12,639"
1/12/22,"13,148"
1/13/22,"13,515"
1/14/22,"11,088"
1/15/22,"6,782"
1/16/22,"6,659"
1/17/22,"8,273"
1/18/22,"12,874"
1/19/22,"11,755"
1/20/22,"15,208"
1/21/22,"11,486"
1/22/22,"6,380"
1/23/22,"6,494"
1/24/22,"12,968"
1/25/22,"16,552"
1/26/22,"14,238"
1/27/22,"14,701"
1/28/22,"12,375"
1/29/22,"6,951"
1/30/22,"7,463"
1/31/22,"12,862"
2/1/22,"13,803"
2/2/22,"14,555"
2/3/22,"14,211"
2/4/22,"13,938"
2/5/22,"6,967"
2/6/22,"8,051"
2/7/22,"13,783"
2/8/22,"14,725"
2/9/22,"16,405"
2/10/22,"14,154"
2/11/22,"13,267"
2/12/22,"6,503"
2/13/22,"7,394"
2/14/22,"12,153"
2/15/22,"14,966"
2/16/22,"14,960"
2/17/22,"14,019"
2/18/22,"10,857"
2/19/22,"5,683"
2/20/22,"6,775"
2/21/22,"8,363"
2/22/22,"12,355"
2/23/22,"12,554"
2/24/22,"12,560"
2/25/22,"11,593"
2/26/22,"5,880"
2/27/22,"7,461"
2/28/22,"11,724"
3/1/22,"12,248"
3/2/22,"13,466"
3/3/22,"12,535"
3/4/22,"10,473"
3/5/22,"6,982"
3/6/22,"8,299"
3/7/22,"13,720"
3/8/22,"14,435"
3/9/22,"14,014"
3/10/22,"13,979"
3/11/22,"8,876"
3/12/22,"6,201"
3/13/22,"7,083"
3/14/22,"13,057"
3/15/22,"13,081"
3/16/22,"14,633"
3/17/22,"15,447"
3/18/22,"12,022"
3/19/22,"7,317"
3/20/22,"7,374"
3/21/22,"14,445"
3/22/22,"14,033"
3/23/22,"14,806"
3/24/22,"21,500"
3/25/22,"16,233"
3/26/22,"7,687"
3/27/22,"8,868"
3/28/22,"14,539"
3/29/22,"14,513"
3/30/22,"15,471"
3/31/22,"16,047"
4/1/22,"12,949"
4/2/22,"7,055"
4/3/22,"7,694"
4/4/22,"16,129"
4/5/22,"16,039"
4/6/22,"34,968"
4/7/22,"24,429"
4/8/22,"17,974"
4/9/22,"9,235"
4/10/22,"9,436"
4/11/22,"17,033"
4/12/22,"16,118"
4/13/22,"15,270"
4/14/22,"16,382"
4/15/22,"13,812"
4/16/22,"8,569"
4/17/22,"7,199"
4/18/22,"15,587"
4/19/22,"16,828"
4/20/22,"17,206"
4/21/22,"18,682"
4/22/22,"14,054"
4/23/22,"7,896"
4/24/22,"8,511"
4/25/22,"16,206"
4/26/22,"16,679"
4/27/22,"17,886"
4/28/22,"17,867"
4/29/22,"15,619"
4/30/22,"7,639"
5/1/22,"8,508"
5/2/22,"16,206"
5/3/22,"15,543"
5/4/22,"15,421"
5/5/22,"17,379"
5/6/22,"16,029"
5/7/22,"9,937"
5/8/22,"8,960"
5/9/22,"15,985"
5/10/22,"17,506"
5/11/22,"19,250"
5/12/22,"18,520"
5/13/22,"15,418"
5/14/22,"8,414"
5/15/22,"9,989"
5/16/22,"15,589"
5/17/22,"16,112"
5/18/22,"14,774"
5/19/22,"18,654"
5/20/22,"15,112"
5/21/22,"7,803"
5/22/22,"8,449"
5/23/22,"15,331"
5/24/22,"17,009"
5/25/22,"17,390"
5/26/22,"15,973"
5/27/22,"13,890"
5/28/22,"6,951"
5/29/22,"7,946"
5/30/22,"9,850"
5/31/22,"15,250"
