Day Index,Pageviews,z-score,baseline_iso_forest,baseline_lof
2021-05-01,6194,-1.4744325679172057,1,1
2021-05-02,6545,-1.3978641655886157,1,1
2021-05-03,11755,-0.2613360284605433,1,1
2021-05-04,11706,-0.27202506468305304,1,1
2021-05-05,12171,-0.17058829236739972,1,1
2021-05-06,14031,0.23515879689521346,1,1
2021-05-07,11679,-0.2779149417852523,1,1
2021-05-08,6268,-1.4582899417852524,1,1
2021-05-09,6787,-1.3450734152652004,1,1
2021-05-10,13647,0.15139165588615783,1,1
2021-05-11,13878,0.20178282664941785,1,1
2021-05-12,13381,0.09336545924967658,1,1
2021-05-13,12193,-0.16578913324708927,1,1
2021-05-14,10600,-0.5132918822768435,1,1
2021-05-15,7023,-1.2935915265200517,1,1
2021-05-16,7114,-1.2737404592496766,1,1
2021-05-17,12711,-0.05279075032341526,1,1
2021-05-18,14164,0.2641718952134541,1,1
2021-05-19,12451,-0.10950808538163001,1,1
2021-05-20,14173,0.2661351875808538,1,1
2021-05-21,12348,-0.13197687580853815,1,1
2021-05-22,6372,-1.4356030077619664,1,1
2021-05-23,7736,-1.1380551423027168,1,1
2021-05-24,11403,-0.33812257438551097,1,1
2021-05-25,15165,0.4825336351875808,1,1
2021-05-26,13582,0.13721232212160414,1,1
2021-05-27,13642,0.15030093790426907,1,1
2021-05-28,8274,-1.0206938874514877,1,1
2021-05-29,6943,-1.3110430142302716,1,1
2021-05-30,7444,-1.2017530724450194,1,1
2021-05-31,8284,-1.0185124514877102,1,1
2021-06-01,15976,0.6594480918499354,1,1
2021-06-02,12887,-0.014397477360931435,1,1
2021-06-03,16226,0.7139839909443726,1,1
2021-06-04,12576,-0.08224013583441138,1,1
2021-06-05,7193,-1.2565071151358345,1,1
2021-06-06,7405,-1.2102606727037515,1,1
2021-06-07,14368,0.3086731888745149,1,1
2021-06-08,15465,0.5479767141009055,1,1
2021-06-09,13130,0.03861141655886158,1,1
2021-06-10,12337,-0.13437645536869341,1,1
2021-06-11,11382,-0.3427035899094437,1,1
2021-06-12,5911,-1.5361672056921085,1,1
