title,authors,date,tags,link
Russian trainers relocate to Niger airbase where some US troops still stationed,"['Euronews', 'AP']",2024-05-04,"['Niger', 'Russia', 'US troops', 'military junta', 'US politics', 'military forces']",https://www.euronews.com/2024/05/03/russian-trainers-relocate-to-niger-airbase-where-some-us-troops-still-stationed
Situation 'dire' for Ukraine despite delayed US aid package,Méabh Mc Mahon,2024-05-04,"['Ukraine', 'Ukraine war', 'Russia-Ukraine invasion']",https://www.euronews.com/my-europe/2024/05/03/situation-dire-for-ukraine-despite-delayed-us-aid-package
Judo Grand Slam: day one at Dushanbe,"['Euronews', 'AP']",2024-05-03,"['Judo', 'Sport', 'Tajikistan']",https://www.euronews.com/2024/05/03/judo-grand-slam-day-one-at-dushanbe
'Today's Ukraine could be tomorrow's East Asia': Japan and France agree to bolster cooperation,"['Euronews', 'IJF']",2024-05-03,"['Japanese politics', 'Fumio Kishida', 'South China Sea', 'Emmanuel Macron']",https://www.euronews.com/2024/05/03/todays-ukraine-could-be-tomorrows-east-asia-japan-and-france-agree-to-bolster-cooperation
State of the Union: Enlargement nostalgia and new challenges in the EU,Shona Murray,2024-05-03,"['European Union', 'Eurovision song contest', 'EU enlargement', 'Charles Michel', 'Far-right']",https://www.euronews.com/my-europe/2024/05/03/state-of-the-union-enlargement-nostalgia-and-new-challenges-in-the-eu
Sweden's Sámi pay the price in Europe's quest for copper,Sophia Khatsenkova,2024-05-03,"['Raw material', 'Sweden', 'Mining']",https://www.euronews.com/2024/05/03/swedens-sami-pay-the-price-in-europes-quest-for-copper
Strack-Zimmermann: Far-right would use election success to undermine EU,Bryan Carter,2024-05-03,"['European politics', 'European Union', 'EU Parliament', 'European elections 2024']",https://www.euronews.com/2024/05/03/strack-zimmermann-far-right-would-use-election-success-to-undermine-eu
Kremlin brands France and UK's Ukraine comments as 'dangerous',Shona Murray,2024-05-03,"['Bombardment', 'Russia', 'Ukraine', 'Ukraine war']",https://www.euronews.com/2024/05/03/kremlin-brands-france-and-uks-ukraine-comments-as-dangerous
Tiny particles of plastic pollution could be finding their way deep into our lungs with every breath,Ian Smith,2024-05-04,"['Health', 'nanoplastics', 'Microplastics', 'lung', 'breathing', 'Pollution']",https://www.euronews.com/green/2024/05/03/tiny-particles-of-plastic-pollution-could-be-finding-their-way-deep-into-our-lungs-with-ev
Thousands of London cab drivers set to sue Uber for £250 million,['AP'],2024-05-04,"['Taxi driver', 'UBER', 'Taxi']",https://www.euronews.com/business/2024/05/03/thousands-of-london-cab-drivers-set-to-sue-uber-for-250-million
Keen to teach English abroad? These are the places you’ll get paid the most,Andrea Carlo,2024-05-04,"['Languages', 'Jobs', 'Poland', 'English language', 'international travel', 'Teaching']",https://www.euronews.com/travel/2024/05/03/keen-to-teach-english-abroad-these-are-the-places-youll-get-paid-the-most
Palestinian journalists awarded World Press Freedom Prize,"['Euronews', 'AP']",2024-05-03,"['journalists day', 'Reporters Without Borders', 'Press freedom', 'Print media', 'Journalist']",https://www.euronews.com/2024/05/03/warning-on-world-press-freedom-day-of-worsening-climate-for-journalists
China sends lunar probe to collect samples from far side of the Moon,"['Euronews', 'AP']",2024-05-03,"['NASA', 'Space X', 'space probe']",https://www.euronews.com/next/2024/05/03/china-sends-lunar-probe-to-collect-samples-from-far-side-of-the-moon
'Call me Giorgia': Meloni plans to rally Europe's centre-right in elections pledge,Stefan Grobe,2024-05-03,"['Brothers of Italy', 'EU Parliament', 'Italy', 'Giorgia Meloni', 'European elections 2024']",https://www.euronews.com/my-europe/2024/05/03/meloni-plans-to-rally-europes-centre-right-in-elections-pledge
School closures and health warnings: South and Southeast Asia swelter under record-breaking heat,['Euronews Green'],2024-05-03,"['Death', 'Thailand', 'school', 'Vietnam', 'climate change', 'Heatwave']",https://www.euronews.com/green/2024/05/03/school-closures-and-health-warnings-south-and-southeast-asia-swelter-under-record-breaking
"Euroviews. Women are being murdered in the Western Balkans, and it is time to take action",Giorgia Orlandi,2024-05-03,"['Kosovo', ""Women's rights"", 'Euroviews', 'Western Balkans', 'Bosnia and Herzegovina', 'femicide']",https://www.euronews.com/my-europe/2024/05/03/women-are-being-murdered-in-the-western-balkans-and-it-is-time-to-take-action
"Offensive in Rafah would be 'nothing short of tragedy beyond words', UN agency warns",Daniel Bellamy,2024-05-03,"['Israel', 'The Gaza Strip', 'palestinians', 'Rafah', 'Airstrike', 'Israel Hamas war']",https://www.euronews.com/2024/05/03/offensive-in-rafah-will-be-nothing-short-of-tragedy-beyond-words-un-agency-warns
EU Policy. Commission’s hospital exemption divides health sector,Marta Iraola Iribarren,2024-05-03,"['European Union', 'Health', 'Pharmaceutical companies', 'EU Policy', 'Rare diseases']",https://www.euronews.com/health/2024/05/03/commissions-hospital-exemption-divides-health-sector
These are the world’s top 10 cleanest airports - only one is in Europe,Saskia O'Donoghue,2024-05-03,"['Airport', 'Switzerland', 'international travel', 'Tokyo', 'Airplanes', 'Awards']",https://www.euronews.com/travel/2024/05/03/these-are-the-worlds-top-10-cleanest-airports-only-one-is-in-europe
"Drake, Adele and more return to TikTok as Universal strikes licensing deal",['AP'],2024-05-03,"['Pop music', 'TikTok', 'Music industry', 'Social Media']",https://www.euronews.com/culture/2024/05/03/drake-adele-and-more-return-to-tiktok-as-universal-strikes-licensing-deal
Paris police peacefully remove pro-Palestinian student protesters,['AP'],2024-05-03,"['Russia', 'Germany', 'Annalena Baerbock', 'SPD', 'Ukraine war', 'Cyber attacks']",https://www.euronews.com/my-europe/2024/05/03/paris-police-peacefully-remove-pro-palestinian-student-protesters
Dua Lipa’s ‘Radical Optimism': Euronews Culture's verdict,['AP'],2024-05-03,"['Pop music', 'Music', 'Dua Lipa']",https://www.euronews.com/culture/2024/05/03/dua-lipas-radical-optimism-euronews-cultures-verdict
'You leave nothing to chance': Astronauts prepare for arrival of Boeing's Starliner at space station,"['Euronews', 'AP']",2024-05-03,"['NASA', 'Space X', 'space probe']",https://www.euronews.com/next/2024/05/03/you-leave-nothing-to-chance-astronauts-prepare-for-arrival-of-boeings-starliner-at-space-s
The road to global climate efforts,Indrabati Lahiri,2024-05-03,"['COP29', 'Azerbaijan', 'Fossil fuels', 'Global warming and climate change']",https://www.euronews.com/business/2024/05/03/the-road-to-global-climate-efforts
Turkey halts all trade with Israel over humanitarian crisis in Gaza,['Jane Witherspoon'],2024-05-03,"['Recep Tayyip Erdogan', 'Israel', 'Palestine']",https://www.euronews.com/business/2024/05/03/turkey-halts-all-trade-with-israel-over-humanitarian-crisis-in-gaza
EU Policy. Clean tech sector and NGOs produce alternative election manifestos,['Marta Pacheco'],2024-05-03,"['Environment', 'Industry', 'EU Policy', 'Energy', 'European elections 2024']",https://www.euronews.com/green/2024/05/03/clean-tech-sector-and-ngos-produce-alternative-election-manifestos
Where in Europe was unemployment the lowest in March?,['AP'],2024-05-03,"['Unemployment', 'employment', 'European economy', 'Eurozone']",https://www.euronews.com/business/2024/05/03/where-in-europe-was-unemployment-the-lowest-in-march
German foreign minister blames Russia for cyberattack against SPD party,"['Euronews', 'AP']",2024-05-03,"['European Union', 'Russia', 'EU-Russia', 'GPS', 'Ukraine war']",https://www.euronews.com/my-europe/2024/05/03/german-foreign-minister-blames-russia-for-cyberattack-against-spd
EU and NATO condemn 'malicious' Russian cyber attacks against Germany and Czechia,"['Euronews', 'AP']",2024-05-03,"['European Union', 'Russia', 'EU-Russia', 'GPS', 'Ukraine war']",https://www.euronews.com/my-europe/2024/05/03/eu-and-nato-condemn-malicious-russian-cyber-attacks-against-germany-and-czechia
Gazprom sees worst loss in decades as European exports falter,Doloresz Katanich,2024-05-03,"['Gazprom', 'Energy', 'Russia-Ukraine invasion']",https://www.euronews.com/business/2024/05/03/gazprom-sees-worst-loss-in-decades-as-european-exports-falter
European court affirms Italy's right to seize ancient bronze statue from LA's Getty Museum,['Jonny Walfisz'],2024-05-03,"['Italy', 'Cultural Heritage', 'antique', 'statue', 'artefacts']",https://www.euronews.com/culture/2024/05/03/european-court-affirms-italys-right-to-seize-ancient-bronze-statue-from-las-getty-museum
Major Google antitrust trial in US set to wrap up with closing arguments,"['Euronews', 'AP']",2024-05-03,"['lawsuit', 'Google', 'competition', 'Antitrust']",https://www.euronews.com/next/2024/05/03/major-google-antitrust-trial-in-us-set-to-wrap-up-with-closing-arguments
Crédit Agricole announces earnings jump while rival’s profits plummet,Indrabati Lahiri,2024-05-03,"['Interest rates', 'Banking', 'Societe Generale']",https://www.euronews.com/business/2024/05/03/credit-agricole-announces-earnings-jump-while-rivals-profits-plummet
European elections: What do voters want? and what do candidates promise?,['Euronews'],2024-05-03,"['European Union', 'Education', 'EU Parliament', 'European elections 2024']",https://www.euronews.com/my-europe/2024/05/03/european-elections-what-do-voters-want-and-what-do-candidates-promise
Turkey inflation hits almost 70% in April dampening interest rate cut hopes,Eleanor Butler,2024-05-03,"['food inflation', ""Turkey's economy"", 'Inflation']",https://www.euronews.com/business/2024/05/03/turkey-inflation-hits-almost-70-in-april-dampening-interest-rate-cut-hopes
"Euroviews. 'Mayday, Mayday': EU Overshoot Day signals an SOS for the European Green Deal",['Marta Pacheco'],2024-05-03,"['European Union', 'Climate emergency', 'Euroviews', 'Charles Michel', 'Green Deal']",https://www.euronews.com/green/2024/05/03/mayday-mayday-eu-overshoot-day-signals-an-sos-for-the-european-green-deal
What are the most frequent and serious causes of child poisoning?,Lauren Chadwick,2024-05-03,"['Medicine', 'Bees', 'Poisoning']",https://www.euronews.com/health/2024/05/03/what-are-the-most-frequent-and-serious-causes-of-child-poisoning
At least one person dead after violent storms hit northern France,"['Euronews', 'AP']",2024-05-03,"['France', 'Climate emergency', 'Extreme weather', 'Weather', 'Climate']",https://www.euronews.com/2024/05/03/woman-dies-in-france-after-violent-storms
Far-right Finns Party drops MP from group over Helsinki nightclub shooting arrest,['Euronews'],2024-05-03,"['Finland', 'Finland politics', 'shooting', 'Politics', 'Crime', 'Attack']",https://www.euronews.com/2024/05/03/finnish-mp-arrested-over-night-shooting
Weekly market recap: Mixed trends amid macro signals and earnings season,Angela Barnes,2024-05-03,"['stock exchange', 'Markets', 'World markets', 'European markets']",https://www.euronews.com/business/2024/05/03/weekly-market-recap-mixed-trends-amid-macro-signals-and-earnings-season
"EU Policy. What is the ‘hospital exemption’, and why does it matter?",Lauren Chadwick,2024-05-03,"['European Union', 'Health', 'Pharmaceutical companies', 'EU Policy', 'Rare diseases']",https://www.euronews.com/health/2024/05/03/what-is-the-hospital-exemption-and-why-does-it-matter
Wild orangutan uses a medicinal plant to treat a wound in 'first time' observation by scientists,"['Ester Asin, William Todts, Ariel Brunner, Chiara Martinelli, Patrick ten Brink']",2024-05-03,"['Health', 'Medicine', 'Plants', 'monkey', 'orangutan', 'Primatologist']",https://www.euronews.com/green/2024/05/03/wild-orangutan-uses-a-medicinal-plant-to-treat-a-wound-in-unique-sighting-by-scientists
Apple’s stock surges on solid earnings and $110bn share buyback plan,['Tina Teng'],2024-05-03,"['Apple', 'Tim Cook', 'iPhone']",https://www.euronews.com/business/2024/05/03/apples-stock-surges-on-solid-earnings-and-110bn-share-buyback-plan
Who will win Eurovision 2024? Here are Euronews Culture's predictions,['AP'],2024-05-03,"['Pop music', 'Sweden', 'Eurovision song contest', 'Music', 'Europe']",https://www.euronews.com/culture/2024/05/03/who-will-win-eurovision-2024-here-are-euronews-cultures-predictions
Scientists' discovery under Atacama desert could help search for life on planets like Mars,"['Euronews', 'AP']",2024-05-03,"['planet', 'geology', 'desert', 'Mars']",https://www.euronews.com/next/2024/05/03/scientists-discovery-under-atacama-desert-could-help-search-for-life-on-other-planets
France ranked the most attractive European country for foreign investors,['Tina Teng'],2024-05-03,"['France', 'start-up', 'Foreign Investment']",https://www.euronews.com/business/2024/05/03/france-ranked-the-most-attractive-european-country-for-foreign-investors
Zendaya and Sleeping Beauties: Everything you need to know about this year's Met Gala,"['Theo Farrant, Elise Morton, Anca Ulea, Jonny Walfisz']",2024-05-03,"['Met Gala', 'Museum', 'Fashion', 'Vogue Magazine']",https://www.euronews.com/culture/2024/05/03/zendaya-and-sleeping-beauties-everything-you-need-to-know-about-this-years-met-gala
